Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
41,64,59,4,1,69.49,4,lbw,1,v New Zealand,Visakhapatnam,29 Oct 2016
6,7,6,1,0,100.00,5,caught,2,v England,Pune,15 Jan 2017
134,203,122,10,6,109.83,5,caught,1,v England,Cuttack,19 Jan 2017
25,45,36,1,1,69.44,5,caught,2,v England,Eden Gardens,22 Jan 2017
DNB,-,-,-,-,-,-,-,1,v Pakistan,Birmingham,4 Jun 2017
63,78,52,7,2,121.15,5,caught,1,v Sri Lanka,The Oval,8 Jun 2017
DNB,-,-,-,-,-,-,-,2,v South Africa,The Oval,11 Jun 2017
DNB,-,-,-,-,-,-,-,2,v Bangladesh,Birmingham,15 Jun 2017
4,23,16,0,0,25.00,5,caught,2,v Pakistan,The Oval,18 Jun 2017
9*,-,9,1,0,100.00,5,not out,1,v West Indies,Port of Spain,23 Jun 2017
13*,-,13,1,0,100.00,6,not out,1,v West Indies,Port of Spain,25 Jun 2017
78*,-,79,4,2,98.73,5,not out,1,v West Indies,North Sound,30 Jun 2017
54,-,114,1,0,47.36,5,caught,2,v West Indies,North Sound,2 Jul 2017
DNB,-,-,-,-,-,-,-,2,v West Indies,Kingston,6 Jul 2017
DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Dambulla,20 Aug 2017
45*,-,68,1,0,66.17,6,not out,2,v Sri Lanka,Pallekele,24 Aug 2017
67*,-,86,4,1,77.90,6,not out,2,v Sri Lanka,Pallekele,27 Aug 2017
49*,-,42,5,1,116.66,7,not out,1,v Sri Lanka,Colombo (RPS),31 Aug 2017
1*,-,1,0,0,100.00,6,not out,2,v Sri Lanka,Colombo (RPS),3 Sep 2017
79,152,88,4,2,89.77,6,caught,1,v Australia,Chennai,17 Sep 2017
5,19,10,1,0,50.00,6,caught,1,v Australia,Eden Gardens,21 Sep 2017
3*,9,6,0,0,50.00,7,not out,2,v Australia,Indore,24 Sep 2017
13,12,10,1,1,130.00,7,bowled,2,v Australia,Bengaluru,28 Sep 2017
DNB,-,-,-,-,-,-,-,2,v Australia,Nagpur,1 Oct 2017
25,54,42,2,0,59.52,6,caught,1,v New Zealand,Wankhede,22 Oct 2017
18*,22,21,3,0,85.71,6,not out,2,v New Zealand,Pune,25 Oct 2017
25,29,17,3,0,147.05,5,caught,1,v New Zealand,Kanpur,29 Oct 2017
65,129,87,10,2,74.71,6,caught,1,v Sri Lanka,Dharamsala,10 Dec 2017
7,11,5,0,1,140.00,4,lbw,1,v Sri Lanka,Mohali,13 Dec 2017
